trial_id,date,name,engine,window,sharpe,cagr,max_dd,n_trials_represented,source,notes
s9_m01,2026-07-02,open_slip_SOXX_vwap5m_vs_open,alpaca_sip_measurement,2016-01-04..2026-07-01,,,,1,study9_intraday/analyze.py,"owner-authorized batch; measurement not a backtest; mean signed +0.36 bps / med abs 12.29 / p90 abs 34.77; n=2637 days"
s9_m02,2026-07-02,open_slip_QQQ_vwap5m_vs_open,alpaca_sip_measurement,2016-01-04..2026-07-01,,,,1,study9_intraday/analyze.py,"owner-authorized batch; mean signed +0.49 / med abs 5.87 / p90 17.41 bps"
s9_m03,2026-07-02,open_slip_XLE_vwap5m_vs_open,alpaca_sip_measurement,2016-01-04..2026-07-01,,,,1,study9_intraday/analyze.py,"owner-authorized batch; mean signed -0.57 / med abs 14.89 / p90 42.63 bps"
s9_m04,2026-07-02,open_slip_GLD_vwap5m_vs_open,alpaca_sip_measurement,2016-01-04..2026-07-01,,,,1,study9_intraday/analyze.py,"owner-authorized batch; mean signed -0.23 / med abs 2.66 / p90 8.22 bps"
s9_m05,2026-07-02,open_slip_SHY_vwap5m_vs_open,alpaca_sip_measurement,2016-01-04..2026-07-01,,,,1,study9_intraday/analyze.py,"owner-authorized batch; mean signed -0.07 / med abs 0.26 / p90 1.06 bps"
s9_m06,2026-07-02,open_slip_SPY_vwap5m_vs_open,alpaca_sip_measurement,2016-01-04..2026-07-01,,,,1,study9_intraday/analyze.py,"owner-authorized batch; mean signed +0.43 / med abs 3.73 / p90 11.40 bps"
s9_m07,2026-07-02,spread_am_vs_pm_range_proxy_6syms,alpaca_sip_measurement,2016-01-04..2026-07-01,,,,1,study9_intraday/analyze.py,"owner-authorized batch; pm 15:45-54 cheaper than open 09:30-34 on 87-100% of days all risk legs (SOXX 20.9->6.1 bps); SHY flat ~0.8 bps"
s9_m08,2026-07-02,nbbo_quoted_spread_open_vs_pm_6syms,alpaca_sip_measurement,63 days 2016-2026 sampled,,,,1,study9_intraday/analyze.py,"owner-authorized batch; med quoted spread 09:30:15 vs 15:45: SOXX 8.51->1.98, XLE 2.26->1.46, QQQ 0.62->0.48, GLD 0.84->0.62, SPY 0.39->0.34, SHY 1.20->1.20 bps"
s9_m09,2026-07-02,close_drift_1544_to_close_6syms,alpaca_sip_measurement,2016-01-04..2026-07-01,,,,1,study9_intraday/analyze.py,"owner-authorized batch; med abs bps: SOXX 15.04 QQQ 10.70 XLE 12.85 GLD 4.53 SHY 1.17 SPY 9.28; decision-day med abs max 14.47 (SOXX)"
s9_m10,2026-07-02,last10min_vwap_vs_official_close_6syms,alpaca_sip_measurement,2016-01-04..2026-07-01,,,,1,study9_intraday/analyze.py,"owner-authorized batch; med abs bps: SOXX 6.47 QQQ 4.33 XLE 5.59 GLD 2.10 SHY 0.73 SPY 4.03 - closing auction cheapest"
s9_m11,2026-07-02,rank_flip_blend126_252_1544proxy,alpaca_sip_measurement+parquet,2016-01-04..2026-07-01,,,,1,study9_intraday/analyze.py,"owner-authorized batch; top-3 flips 7.7% all days / 6.8% of 502 tranche decision days (<=10% pre-reg bar PASS); gate flips 0.49%; XLK/VGT/IGV proxied by official close (undercount); cls lead SUPPORTED pending shadow study"
s9_m12,2026-07-02,feed_capability_probe,alpaca_api_probe,2026-07-02,,,,1,study9_intraday/probe_api.py,"owner-authorized batch; keys serve SIP historical: 1Min bars from 2016-01-04, NBBO quotes from 2016, 15-min delay only; IEX 1Min starts 2020-07-27; adjustment=split matches parquet convention (raw is 3x/2x off for SOXX/XLE)"
